id,director
18395,[b'Garry Marshall']
522,[b'Tim Burton']
397,[b'Lawrence Kasdan']
10525,[b'Billy Crystal']
27985,[b'Phillip Borsos']
15789,"[b'Kevin Lima', b'Paul Brizzi']"
27303,[b'Brett Leonard']
21183,[b'Carlo Carlei']
10954,[b'G\xc3\xa9rard Corbiau']
47867,[b'Mark Lewis']
43475,[b'Art Clokey']
72031,[b'Charles Burnett']
14275,[b'Steve James']
1024,[b'Peter Jackson']
17207,[b'Randall Miller']
13701,[b'Bernard Rose']
14819,[b'Steven Brill']
32631,[b'J. F. Lawton']
11777,[b'Fred Schepisi']
628,[b'Neil Jordan']
87729,[b'James Ivory']
18713,[b'James Melkonian']
6280,[b'Ivan Reitman']
9061,[b'Arne Glimcher']
37108,[b'Michael Gottlieb']
6071,[b'Barbet Schroeder']
11,[b'George Lucas']
9587,[b'Gillian Armstrong']
19101,[b'Alfonso Cuar\xc3\xb3n']
49980,[b'Ken Loach']
17961,[b'Claude Chabrol']
18183,[b'Alfonso Ar\xc3\xa1u']
4476,[b'Edward Zwick']
11008,[b'Nick Castle']
47504,[b'James Gray']
32325,[b'Allison Anders']
43742,[b'Glenn Gordon Caron']
28313,[b'Stephen Gyllenhaal']
11318,[b'Nicholas Hytner']
3036,[b'Kenneth Branagh']
40490,[b'James Orr']
24070,[b'Nora Ephron']
8986,[b'Richard Benjamin']
10510,[b'Les Mayfield']
17402,[b'David Frankel']
38722,[b'Gregory Nava']
8438,[b'Marc Rocco']
11593,[b'Robert Benton']
1945,[b'Michael Apted']
39310,[b'Nick Gomez']
109560,[b'T\xc5\x8dru Murakawa']
56428,[b'Vadim Jean']
63105,[b'Albert Pyun']
131957,[b'Alan Jacobs']
241,[b'Oliver Stone']
9058,[b'Norman Jewison']
527,[b'Lee Tamahori']
18220,[b'Anne Goursaud']
6950,[b'Wolfgang Petersen']
101,[b'Luc Besson']
63020,[b'Mira Nair']
2307,[b'Joshua Brand']
680,[b'Quentin Tarantino']
41478,[b'Mario Van Peebles']
25296,[b'Ang Lee']
40156,[b'Antonia Bird']
11450,[b'Robert Redford']
30304,[b'Kayo Hatta']
10452,[b'Patrice Ch\xc3\xa9reau']
12106,[b'Sam Raimi']
161495,[b'Peter Yates']
3586,[b'Robert Altman']
110,[b'Krzysztof Kie\xc5\x9blowski']
108,[b'Krzysztof Kie\xc5\x9blowski']
109,[b'Krzysztof Kie\xc5\x9blowski']
159185,[b'He Ping']
36357,[b'Fred Gerber']
92769,[b'George Mihalka']
28033,[b'Harold Ramis']
22586,[b'Richard Rich']
14334,[b'John Sayles']
2636,[b'Luis Llosa']
2164,[b'Roland Emmerich']
11395,[b'John Pasquin']
278,[b'Frank Darabont']
9905,[b'Danny Boyle']
87078,"[b'Scott McGehee', b'David Siegel']"
12527,"[b'Tom\xc3\xa1s Guti\xc3\xa9rrez Alea', b'Juan Carlos Tab\xc3\xado']"
20306,[b'George Huang']
36614,"[b'Kevin Dowling', b'Geoff Burton']"
27993,[b'Kelly Makin']
31439,[b'Zhang Yimou']
9067,[b'Rachel Talalay']
9059,[b'Ernest R. Dickerson']
193,[b'David Carson']
25066,[b'Rusty Cundieff']
46797,[b'Brian Gilbert']
12122,[b'John Carpenter']
11381,[b'Peter Segal']
32636,[b'Louis Malle']
36141,[b'Steven Soderbergh']
95963,[b'Preston A. Whitmore II']
1587,[b'Lasse Hallstr\xc3\xb6m']
9271,[b'Brett Leonard']
2064,[b'Jon Turteltaub']
19855,[b'Jon Avnet']
60855,[b'Mina Shum']
236,[b'P.J. Hogan']
48287,[b'Melanie Mayron']
3049,[b'Tom Shadyac']
2759,[b'Stephan Elliott']
12635,[b'Iain Softley']
10497,[b'Roman Polanski']
11382,[b'Woody Allen']
9331,[b'Phillip Noyce']
10731,[b'Joel Schumacher']
10464,[b'Jessie Nelson']
34152,[b'Spike Lee']
9495,[b'Alex Proyas']
29973,[b'Ron Shelton']
888,[b'Brian Levant']
13,[b'Robert Zemeckis']
712,[b'Mike Newell']
16295,[b'John Singleton']
48992,[b'Darnell Martin']
10879,[b'Charles Shyer']
10660,[b'Andrew Bergman']
10714,[b'Stephen Sommers']
41647,[b'Ray M\xc3\xbcller']
8587,"[b'Roger Allers', b'Rob Minkoff']"
1689,[b'Bernardo Bertolucci']
11596,[b'Wes Craven']
854,[b'Chuck Russell']
9359,[b'Richard Donner']
23333,[b'Alan Rudolph']
36593,[b'Peter Segal']
12280,[b'Ron Howard']
2788,[b'Ben Stiller']
10427,[b'John Dahl']
11011,[b'Donald Petrie']
49803,[b'Robert Allan Ackerman']
8987,[b'Curtis Hanson']
1637,[b'Jan de Bont']
15128,[b'Ron Underwood']
8831,[b'Peter Hyams']
36955,[b'James Cameron']
10449,[b'Luis Mandoki']
10395,[b'Mike Nichols']
12160,[b'Lawrence Kasdan']
40480,[b'Damian Harris']
52038,[b'Suri Krishnamma']
29444,[b'Jefery Levy']
26352,[b'Keenen Ivory Wayans']
39953,"[b'Robert Lee King', b'Brian Sloan', b""Raoul O'Connell""]"
41580,[b'Yves Angelo']
315,[b'Russ Meyer']
22067,[b'Doug McHenry']
18242,[b'Dave Borthwick']
11667,[b'Steven E. de Souza']
32502,[b'Wallace Wolodarsky']
267188,[b'Michael A. Nickles']
28732,[b'Paul Warner']
75555,[b'Vincent Robert']
42981,[b'Theodore Thomas']
278939,[b'Lucas Platt']
291731,[b'Ross Kagan Marks']
226229,[b'Paul Williams']
203119,[b'Robert Wuhl']
172923,[b'Roberto Sneider']
316098,"[b'Jack Baxter', b'Jefri Aalmuhammed']"
8011,[b'Andrew Morahan']
171857,[b'Michael Corrente']
2654,[b'John Carpenter']
18069,[b'John G. Avildsen']
19092,[b'Jeff Pollack']
2758,[b'Barry Sonnenfeld']
38129,[b'Thomas Schlamme']
10436,[b'Martin Scorsese']
13595,[b'Michael Lehmann']
46094,[b'Paul Michael Glaser']
9409,[b'John Badham']
11853,[b'Jonathan Kaplan']
16771,[b'Whit Stillman']
46924,[b'Bill Forsyth']
11041,[b'Penelope Spheeris']
306,[b'John Landis']
14522,[b'Caroline Thompson']
26203,[b'Michael Apted']
178,[b'Stephen Hopkins']
19819,[b'William Friedkin']
57834,[b'Tony Richardson']
4722,[b'Abel Ferrara']
18215,[b'Jennifer Chambers Lynch']
1607,[b'Robert De Niro']
26391,[b'Adam Resnick']
117553,[b'John Whitesell']
6075,[b'Brian De Palma']
11310,[b'Paul Weiland']
18658,[b'Mick Jackson']
9350,[b'Renny Harlin']
9612,[b'Steve Barron']
2124,[b'Richard Rush']
26261,[b'Michael Ritchie']
19176,[b'Gregg Champion']
49299,[b'Abel Ferrara']
11566,[b'Ivan Reitman']
9571,[b'Richard Linklater']
9739,[b'Marco Brambilla']
24257,[b'Bruce Brown']
34444,[b'Gus Van Sant']
26141,[b'Carl Reiner']
10997,[b'Chen Kaige']
50463,[b'Donald Petrie']
10443,[b'Peter Weir']
20239,[b'Rusty Cundieff']
16297,[b'Alek Keshishian']
18551,[b'Steve Kloves']
25440,[b'John Irvin']
9024,[b'Barry Sonnenfeld']
37233,[b'Sydney Pollack']
1634,[b'Simon Wincer']
13815,[b'Boaz Yakin']
5503,[b'Andrew Davis']
35588,[b'Walter Hill']
2087,[b'Roger Donaldson']
41579,[b'Howard Deutch']
18620,[b'Rose Troche']
41006,[b'Bruce Beresford']
4916,[b'Sidney Lumet']
2019,[b'John Woo']
31642,[b'Oliver Stone']
9255,[b'Jim Abrahams']
26271,[b'Julianna Lavin']
10612,[b'Christopher Monger']
2259,[b'Bille August']
16097,[b'Eric Meza']
11934,[b'Joel Coen']
106143,[b'James L. Brooks']
12475,"[b'Daniel Petrie, Jr.']"
9386,[b'Wolfgang Petersen']
7984,[b'Jim Sheridan']
59930,[b'Matty Rich']
15765,[b'Brian Gibson']
31643,[b'Barry Levinson']
6,[b'Stephen Hopkins']
329,[b'Steven Spielberg']
10909,[b'Dominic Sena']
507,[b'Roger Avary']
34024,[b'Steven Soderbergh']
29918,[b'Daniel Petrie']
9593,[b'John McTiernan']
42580,[b'James Lapine']
22317,"[b'Simon Wincer', b'Paul Hogan', b'Greg Coote']"
1413,[b'David Cronenberg']
12121,[b'Richard Benjamin']
2246,[b'Harold Becker']
10502,[b'Mel Gibson']
10440,[b'Woody Allen']
9516,"[b'Albert Hughes', b'Allen Hughes']"
2320,[b'Stuart Baird']
5879,[b'Nagisa \xc5\x8cshima']
83718,[b'Tom Noonan']
11971,[b'Kenneth Branagh']
2625,[b'Mike Figgis']
31911,[b'Anthony Minghella']
788,[b'Chris Columbus']
21450,[b'Mike Leigh']
11231,[b'Christopher Cain']
41588,[b'Michael Tolkin']
10447,[b'Martin Campbell']
31586,[b'Rob Reiner']
9300,[b'Sally Potter']
9559,[b'Clint Eastwood']
9800,[b'Jonathan Demme']
713,[b'Jane Campion']
8291,[b'John Singleton']
18133,[b'David S. Ward']
25557,[b'Stuart Orme']
22588,[b'Mel Smith']
10872,[b'Ted Demme']
1245,[b'James Ivory']
11858,[b'Penny Marshall']
7007,[b'Philip Kaufman']
10467,[b'Alan Parker']
5550,[b'Fred Dekker']
8005,[b'Mel Brooks']
2088,[b'Peter Medak']
10412,[b'Geoffrey Wright']
47889,[b'Victor Nunez']
14534,[b'David Anspaugh']
56583,[b'Tim Hunter']
41878,[b'Cyril Collard']
424,[b'Steven Spielberg']
35233,[b'Michael Ritchie']
14291,[b'Steven Zaillian']
103413,[b'Chris Menges']
11236,[b'Agnieszka Holland']
11592,[b'John Waters']
8850,[b'Russell Mulcahy']
10445,[b'Richard Attenborough']
695,[b'Robert Altman']
43535,[b'Gillies MacKinnon']
12519,[b'John Duigan']
23210,[b'Fred Schepisi']
858,[b'Nora Ephron']
867,[b'Phillip Noyce']
78,[b'Ridley Scott']
13203,[b'Steve Rash']
10442,[b'Thomas Schlamme']
11074,[b'Rowdy Herrington']
33367,[b'Arthur Joff\xc3\xa9']
9607,"[b'Annabel Jankel', b'Rocky Morton']"
17585,[b'Ernest R. Dickerson']
9057,[b'Deran Sarafian']
20967,[b'Fran\xc3\xa7ois Girard']
10635,[b'Andrew Fleming']
9479,[b'Henry Selick']
10057,[b'Stephen Herek']
11969,[b'George P. Cosmatos']
41590,[b'Heywood Gould']
319,[b'Tony Scott']
26408,"[b'D.A. Pennebaker', b'Chris Hegedus']"
15139,"[b'Joe Johnston', b'Pixote Hunt', b'Maurice Hunt']"
161158,[b'Jerry Ciccoritti']
218473,[b'Jennifer Warren']
85247,[b'Mark Malone']
11446,[b'Todd Solondz']
51980,[b'Claude Berri']
24405,[b'Dennis Hopper']
11655,[b'Guillermo del Toro']
11800,[b'Daniel Algrant']
8223,[b'Pedro Almod\xc3\xb3var']
14587,[b'Gurinder Chadha']
31504,[b'Andrew Scheinman']
41653,[b'\xc3\x85ke Sandgren']
53185,[b'Richard Loncraine']
95743,[b'Eva Sereny']
23637,[b'Lina Wertm\xc3\xbcller']
17600,[b'David O. Russell']
10897,[b'Penelope Spheeris']
349394,[b'R\xc3\xa9my Duchemin']
21352,[b'George T. Miller']
68806,[b'Ricky Tognazzi']
37345,[b'Michael Austin']
32562,"[b'Rob Epstein', b'Jeffrey Friedman']"
47507,[b'Mathieu Kassovitz']
25403,[b'Nanni Moretti']
124304,[b'Mar\xc3\xada Luisa Bemberg']
9066,[b'Betty Thomas']
771,[b'Chris Columbus']
251,[b'Jerry Zucker']
812,"[b'Ron Clements', b'John Musker']"
280,[b'James Cameron']
581,[b'Kevin Costner']
80350,[b'Steve Cohen']
268,[b'Tim Burton']
274,[b'Jonathan Demme']
408,[b'David Hand']
10020,"[b'Gary Trousdale', b'Kirk Wise']"
10895,"[b'Hamilton Luske', b'Ben Sharpsteen']"
114,[b'Garry Marshall']
41043,[b'Yuri Mamin']
576,[b'Sam Peckinpah']
15477,[b'C.M. Talkington']
59146,[b'Huang Jianxin']
124472,[b'Jean Bach']
30528,[b'Sam Weisman']
7300,[b'Michael Hoffman']
10824,[b'Bill Condon']
261246,[b'Stephen Poliakoff']
275,[b'Joel Coen']
25059,[b'David R. Ellis']
11827,[b'Gerald Potterton']
8766,"[b'Kevin Yagher', b'Joe Chappelle']"
23570,[b'Matt Reeves']
47333,[b'Franco Zeffirelli']
54850,[b'Anna Campion']
51242,[b'Franco Brusati']
10112,[b'Wolfgang Reitherman']
4307,[b'Pedro Almod\xc3\xb3var']
46029,[b'Fernando Trueba']
32308,[b'Bill Couturi\xc3\xa9']
88893,[b'Werner Herzog']
52873,[b'Andr\xc3\xa9 T\xc3\xa9chin\xc3\xa9']
123505,[]
340210,[b'Mika Kaurism\xc3\xa4ki']
44281,[b'F\xc3\xa9rid Boughedir']
28121,[b'Martin Lawrence']
12520,[b'Stacy Title']
1592,[b'Gregory Hoblit']
166901,[b'Cl\xc3\xa9ment Virgo']
36447,[b'Bruno Barreto']
19042,"[b'Paul Sabella', b'Larry Leker']"
38884,[b'Ken Loach']
47449,[b'Hal Salwen']
36259,[b'Jonathan R. Betuel']
41852,[b'Richard Pearce']
40926,[b'Todd Verow']
9099,[b'Jonathan Lynn']
2021,[b'Tim Sullivan']
61752,[b'Spike Lee']
10988,[b'Jeremiah S. Chechik']
11479,[b'Herv\xc3\xa9 Palud']
398959,[b'Martin Enlen']
287305,[b'Carlo Rola']
339428,[]
12652,[b'Claude Sautet']
10684,[b'Edward Zwick']
954,[b'Brian De Palma']
68445,[b'Fri\xc3\xb0rik \xc3\x9e\xc3\xb3r Fri\xc3\xb0riksson']
18989,[b'Pen Densham']
10801,[b'S\xc3\xb6nke Wortmann']
54285,[b'Park Chul-soo']
8840,[b'Rob Cohen']
278978,[b'Joseph Vilsmaier']
124625,[b'Michael Verhoeven']
11107,[b'Steve Rash']
16417,[b'Gray Hofmeyr']
70934,[b'Richard Wherrett']
10363,[b'Ren\xc3\xa9 Cl\xc3\xa9ment']
161070,[b'Anthony Hopkins']
10539,[b'Henry Selick']
10543,[b'James Foley']
18414,[b'Kelly Makin']
47502,[b'Paul Mazursky']
11902,[b'Emir Kusturica']
27098,[b'Bo Widerberg']
25087,[b'Alan Mehrez']
5801,[b'Satyajit Ray']
896,[b'Satyajit Ray']
3065,[b'Jim Mallon']
318177,[]
2300,[b'Joe Pytka']
8069,[b'Roger Vadim']
288173,[b'Catherine Cyran']
187851,[b'Brett Piper']
27768,[b'George Hickenlooper']
221917,[b'Peter Yates']
8072,[b'Jean-Luc Godard']
35797,[b'Bertrand Tavernier']
88030,[b'Mika Kaurism\xc3\xa4ki']
185191,[b'Claude Chabrol']
83857,[b'Gordon Willis']
33245,[b'Randal Kleiser']
124460,[b'Michael Blakemore']
27281,[b'Simon Wincer']
105045,[b'Margarethe von Trotta']
40001,[b'Richard Benjamin']
29621,[b'Norberto Barba']
117730,[b'Eli Cohen']
20762,[b'Robert Mandel']
37144,[b'Pat Verducci']
48260,[b'Michael Winterbottom']
12656,[b'Steven Baigelman']
38867,[b'Zalman King']
277270,[b'Barry Caillier']
25969,[b'Patrick Read Johnson']
44103,[b'Stijn Coninx']
753,[b'John Cassavetes']
43634,[b'Stacy Cochran']
9103,[b'Jean-Claude Van Damme']
90214,[b'Mark Joffe']
29649,[b'Steve Gomer']
10990,[b'Lee Tamahori']
8866,[b'Michael Lehmann']
12233,[b'George Scribner']
23449,[b'Tom DeCerchio']
36355,[b'Alan Shapiro']
37667,[b'Angela Pope']
90148,[b'Betty Kaplan']
922,[b'Jim Jarmusch']
11876,[b'Jean-Paul Rappeneau']
52633,[b'Jack Hill ']
62364,[b'Manuel G\xc3\xb3mez Pereira']
11687,[b'Jean-Marie Poir\xc3\xa9']
9304,[b'Harold Ramis']
73183,[b'Brett Thompson']
131232,"[b'Francesco Sframeli', b'Spiro Scimone']"
9100,[b'Andrew Fleming']
20759,[b'Reginald Hudlin']
46063,[b'Bruce Beresford']
365371,[]
32513,[b'John Schlesinger']
40651,"[b'Stephen Quay', b'Timothy Quay']"
36915,[b'Phil Joanou']
40507,[b'Larry Cohen']
9802,[b'Michael Bay']
25697,[b'Harvey Miller']
21588,[b'Michele Soavi']
664,[b'Jan de Bont']
11867,[b'David Hogan']
47119,[b'Maurice Pialat']
314352,[b'Gabriel Barylli']
9323,[b'Mamoru Oshii']
10280,[b'Tom Holland']
10535,[b'Rick Friedberg']
124613,[b'Udayan Prasad']
532,[b'Nick Park']
26744,[b'Abraham Polonsky']
16299,[b'John Landis']
10547,[b'David Twohy']
245268,[b'Robert Z. Leonard']
935,[b'Stanley Kubrick']
55613,[b'Guy Maddin']
215107,"[b""John O'Brien""]"
41007,[b'John Irvin']
35645,[b'Kevin James Dobson']
110465,[b'Victor Saville']
255546,[b'Helena Solberg']
40751,[b'Wong Kar-wai']
275096,[b'Ebrahim Forouzesh']
85778,[b'Freida Lee Mock']
11101,[b'Joseph Vilsmaier']
9826,[b'Simon Wincer']
9879,[b'Andrew Bergman']
63564,[b'David Keating']
22621,[b'James Mangold']
7095,[b'Francis Ford Coppola']
26890,[b'Mary Harron']
46732,[b'Charles Matthau']
124633,[b'Goran Paskaljevi\xc4\x87']
202425,"[b'Mwez\xc3\xa9 Ngangura', b'Beno\xc3\xaet Lamy']"
196940,[b'Jean-Pierre Bekolo']
77771,[b'Djibril Diop Mamb\xc3\xa9ty']
181083,[b'Gaston Kabor\xc3\xa9']
41225,"[b'Federico Fellini', b'Louis Malle', b'Roger Vadim']"
188589,"[b'Henry Jaglom', b'Victoria Foyt']"
87190,[b'Robby Henson']
627,[b'Danny Boyle']
32872,[b'Scott Winant']
602,[b'Roland Emmerich']
14553,[b'Bernardo Bertolucci']
9566,[b'Tony Scott']
10545,"[b'Gary Trousdale', b'Kirk Wise']"
9894,[b'Ben Stiller']
11543,"[b'Bobby Farrelly', b'Peter Farrelly']"
9268,[b'Chuck Russell']
52059,"[b'Carma Hinton', b'Richard Gordon']"
9327,[b'Tom Shadyac']
123763,[b'Mar\xc3\xada Luisa Bemberg']
81949,[b'Lucian Pintilie']
42005,[b'Gazdag Gyula']
124306,[b'G\xc3\xa9rard Mordillat']
183955,[b'Mel Chionglo']
44535,[b'Alexandre Rockwell']
44495,[b'Christopher Larkin']
78285,[b'Laurent Heynemann  ']
11228,[b'Rob Cohen']
10779,[b'Peter Jackson']
26748,[b'John Sayles']
38223,[b'Bronwen Hughes']
9294,[b'Jon Turteltaub']
49963,[b'Nicole Holofcener']
11363,[b'Edward Burns']
1645,[b'Joel Schumacher']
31546,[b'Michael Corrente']
77056,[b'\xc3\x89ric Rohmer']
36344,[b'Fraser Clarke Heston']
18550,[b'Kevin Hooks']
11511,[b'Paul Michael Glaser']
172198,[b'Ildik\xc3\xb3 Enyedi']
34170,[b'Howard Franklin']
281085,[b'Mitch Marcus']
109478,[b'Jaime Hellman']
124645,[b'Nicolas Roeg']
12606,[b'Arlene Sanford']
69895,[b'Maurizio Nichetti']
35206,[b'Luis Bu\xc3\xb1uel']
151489,[b'Paul Turner']
4837,[b'\xc3\x89ric Rohmer']
12632,"[b'Peter Sehr', b'Gernot Roll']"
9098,[b'Rolf Silber']
282919,[b'Peter Weck']
124614,[b'Manoel de Oliveira']
18975,[b'Steve Barron']
11962,[b'John Payson']
2925,[b'Hugh Wilson']
28628,[b'Nigel Finch']
3595,[b'Ron Howard']
9308,[b'Hart Bochner']
92381,[b'Doug Ellin']
18555,[b'Annette Haywood-Carter']
12123,[b'Andrew Davis']
10830,[b'Danny DeVito']
3573,[b'Douglas McGrath']
10546,[b'Tim Pope']
18862,[b'Harry Winer']
31417,[b'Georges Franju']
9431,[b'Gilbert Adler']
124619,[b'John Rubino']
297645,[b'Yin Li']
48144,[b'Yim Ho']
46986,[b'Hal Hartley']
144982,[b'Marcus DeLeon']
47907,[b'Lee David Zlotoff']
10061,[b'John Carpenter']
36266,[b'Tran Anh Hung']
549,[b'Julian Schnabel']
10478,[b'Ron Shelton']
66634,[b'Rolf de Heer']
116690,[b'Keisuke Kinoshita']
213917,[b'Nicole Garcia']
145925,[b'Leone Pompucci']
100914,[b'Zheng Jun-Li']
238,[b'Francis Ford Coppola']
159,[b'S\xc3\xb6nke Wortmann']
11134,[b'Stanley Tong']
88224,[b'Lisa Krueger']
132641,[b'Mikio Naruse']
42758,[b'Gillies MacKinnon']
9303,"[b'Lana Wachowski', b'Lilly Wachowski']"
